iter	Passed	Remaining
401	1168	284
402	1170	281
403	1173	278
404	1175	275
405	1178	272
406	1180	269
407	1183	266
408	1185	263
409	1187	260
410	1189	257
411	1192	254
412	1195	251
413	1197	248
414	1200	245
415	1202	242
416	1204	239
417	1207	236
418	1209	233
419	1211	230
420	1214	227
421	1216	224
422	1219	221
423	1221	218
424	1223	215
425	1225	212
426	1228	210
427	1231	207
428	1233	204
429	1235	201
430	1238	198
431	1240	195
432	1242	192
433	1245	189
434	1247	186
435	1250	183
436	1252	180
437	1254	177
438	1257	174
439	1259	171
440	1261	168
441	1263	165
442	1266	162
443	1268	159
444	1270	157
445	1272	154
446	1275	151
447	1277	148
448	1280	145
449	1282	142
450	1284	139
451	1286	136
452	1289	133
453	1291	130
454	1293	127
455	1296	125
456	1298	122
457	1300	119
458	1302	116
459	1305	113
460	1308	110
461	1311	107
462	1313	105
463	1316	102
464	1319	99
465	1322	96
466	1325	93
467	1328	90
468	1331	87
469	1333	85
470	1336	82
471	1338	79
472	1340	76
473	1343	73
474	1345	70
475	1347	67
476	1349	65
477	1352	62
478	1354	59
479	1357	56
480	1359	53
481	1361	50
482	1363	48
483	1366	45
484	1368	42
485	1370	39
486	1373	36
487	1375	33
488	1377	30
489	1380	28
490	1382	25
491	1384	22
492	1387	19
493	1389	16
494	1391	14
495	1394	11
496	1396	8
497	1398	5
498	1401	2
499	1404	0
