iter	Logloss
292	0.02870861366
293	0.02861675208
294	0.02837463015
295	0.0282638046
296	0.02813058343
297	0.02797315631
298	0.02781379341
299	0.02772770374
300	0.0275754374
301	0.02744838022
302	0.02730710214
303	0.02706629259
304	0.02682482507
305	0.0267334161
306	0.02661059553
307	0.02643616262
308	0.02629740096
309	0.02608407728
310	0.0259118877
311	0.02584262667
312	0.02574594525
313	0.02568426634
314	0.02559099783
315	0.02538276656
316	0.02530390708
317	0.02519931197
318	0.02505717831
319	0.02493994895
320	0.02482812299
321	0.0246040386
322	0.02441025405
323	0.02429797171
324	0.0242264778
325	0.0241377583
326	0.02408227623
327	0.02402193372
328	0.02389165498
329	0.02371278752
330	0.02363624353
331	0.02357187396
332	0.02342674069
333	0.02335136079
334	0.02326611042
335	0.02318572201
336	0.02313820801
337	0.02301021988
338	0.02286946106
339	0.02280824359
340	0.02268032351
341	0.02257017284
342	0.0224782376
343	0.02237902241
344	0.02231976086
345	0.02217752522
346	0.02206942652
347	0.02197128723
348	0.02186017997
349	0.02177604998
350	0.02166119845
351	0.02157271544
352	0.02151280593
353	0.02143620799
354	0.02138177586
355	0.02129826485
356	0.02123928275
357	0.02114649668
358	0.0210461511
359	0.02099069056
360	0.02093633899
361	0.02085186537
362	0.0207552141
363	0.02065651074
364	0.02060386827
365	0.02048305154
366	0.02039231744
367	0.02028799628
368	0.02018699381
369	0.0200953699
370	0.02003560501
371	0.01991331319
372	0.01985080035
373	0.01976221601
374	0.01970456577
375	0.0195955569
376	0.0195139051
377	0.01940110522
378	0.0193222857
379	0.01921849307
380	0.01910738947
381	0.01906170668
382	0.01894145563
383	0.01887756796
384	0.01881607697
385	0.01874852751
386	0.0186676306
387	0.01856811518
388	0.01844244576
389	0.01835952552
390	0.01825256485
391	0.01820155545
392	0.01813703544
393	0.01807558461
394	0.01799945273
395	0.01788719711
396	0.01778894851
397	0.01768722024
398	0.01763771575
399	0.01754783313
400	0.01750477769
401	0.017448155
402	0.01736089735
403	0.01731905198
404	0.01718101097
405	0.01706681062
406	0.01698775494
407	0.01691885035
408	0.01685535972
409	0.01680718173
410	0.016698591
411	0.01659703373
412	0.01651145815
413	0.01639389873
414	0.01633548758
415	0.01629816064
416	0.0162647492
417	0.01620841543
418	0.01610981675
419	0.01606524734
420	0.01601869336
421	0.01596778195
422	0.01592214741
423	0.01588176852
424	0.01583027043
425	0.01580069414
426	0.01574427487
427	0.01569580903
428	0.01563139563
429	0.01557560116
430	0.01549751056
431	0.01542497338
432	0.01537137626
433	0.01528189133
434	0.01522488581
435	0.01518323611
436	0.01513912738
437	0.01508274322
438	0.01500848057
439	0.0149623666
440	0.01493236474
441	0.01489521247
442	0.01485011733
443	0.01478080558
444	0.01475766422
445	0.01472226779
446	0.01469428429
447	0.01462631605
448	0.01458113519
449	0.01450823801
450	0.01445277327
451	0.01441007201
452	0.01435880275
453	0.01431398211
454	0.01425835854
455	0.01423145514
456	0.0141825732
457	0.01413357053
458	0.01408757664
459	0.01403140677
460	0.01397949043
461	0.01391564658
462	0.01385810952
463	0.0138180453
464	0.01377400925
465	0.0137221628
466	0.01369977277
467	0.01365611127
468	0.01358437194
469	0.01352237567
470	0.013454896
471	0.01341115804
472	0.01334108451
473	0.01330472999
474	0.01327740037
475	0.01321647258
476	0.01314733733
477	0.0131194416
478	0.01308947645
479	0.01304648045
480	0.01300919185
481	0.01298705521
482	0.01293929375
483	0.01288359857
484	0.01283880635
485	0.01279920442
486	0.01273679432
487	0.01270139702
488	0.01264442413
489	0.01261783895
490	0.01254170072
491	0.01248642573
492	0.01244394114
493	0.01237747738
494	0.01233055307
495	0.01229951214
496	0.01225802321
497	0.0122067406
498	0.01216631422
499	0.01213321033
