iter	Logloss
0	0.6557531935
1	0.6175308533
2	0.5878566785
3	0.5680812301
4	0.5473658003
5	0.5287245384
6	0.5088969392
7	0.4919726007
8	0.474980497
9	0.461433476
10	0.4393951442
11	0.4244899271
12	0.4154227683
13	0.4044288484
14	0.3894829993
15	0.382420496
16	0.3720221688
17	0.3587846942
18	0.3438640085
19	0.336171569
20	0.3303494167
21	0.3218719807
22	0.3125654343
23	0.3047863515
24	0.2972630078
25	0.2863767018
26	0.2819678723
27	0.2755925829
28	0.2714067685
29	0.2655494305
30	0.2585244806
31	0.2541644169
32	0.2501703077
33	0.2457326975
34	0.2406882953
35	0.2374446742
36	0.2324839479
37	0.2296228835
38	0.227040479
39	0.2251348548
40	0.2212186765
41	0.2168475569
42	0.2126927794
43	0.2108038939
44	0.2070367753
45	0.2041566018
46	0.2021638129
47	0.1995623709
48	0.1980090683
49	0.1947456726
50	0.1928484183
51	0.1890001779
52	0.1867344546
53	0.1853269857
54	0.1830548075
55	0.1795480068
56	0.1764687268
57	0.1741319317
58	0.1717180012
59	0.1696135316
60	0.1679729729
61	0.16601913
62	0.1642277534
63	0.1631674502
64	0.1613527572
65	0.15909284
66	0.1575380404
67	0.1554440393
68	0.1539586874
69	0.1521978062
70	0.149393665
71	0.1473212403
72	0.1462147323
73	0.1442281913
74	0.1429060698
75	0.1416173528
76	0.1400967809
77	0.1391796329
78	0.1376946407
79	0.1356415105
80	0.1341359078
81	0.1331512412
82	0.1316958144
83	0.1298169464
84	0.1286125778
85	0.1278106738
86	0.1268903122
87	0.1250874567
88	0.122747354
89	0.1215372012
90	0.120662509
91	0.1196082494
92	0.1188157767
93	0.1172671355
94	0.1167249255
95	0.1156078829
96	0.1150880771
97	0.1142105838
98	0.1125180922
99	0.1113299288
100	0.1100743846
101	0.1088228757
102	0.1079391331
103	0.1072915593
104	0.1067665773
105	0.1061088348
106	0.1052293458
107	0.1041228788
108	0.1032705934
109	0.1025989921
110	0.1020230143
111	0.1009112564
112	0.100021727
113	0.09841227494
114	0.09760178568
115	0.09685953297
116	0.0961139424
117	0.0953183739
118	0.09429660184
119	0.09360018892
120	0.09265505164
121	0.09216803996
122	0.09150635028
123	0.09107292479
124	0.09005377157
125	0.08925880649
126	0.08840451272
127	0.08772690601
128	0.08696390824
129	0.08645503878
130	0.08598957163
131	0.08525704794
132	0.08484212913
133	0.0843619085
134	0.08384032511
135	0.08324073496
136	0.08278062334
137	0.08202918128
138	0.08121631564
139	0.08044047251
140	0.07988100517
141	0.07922991176
142	0.07866161033
143	0.07762011625
144	0.07702673251
145	0.07640798041
146	0.07590685956
147	0.07534734591
148	0.07461697455
149	0.0741596013
150	0.07375632764
151	0.07307361361
152	0.07232093601
153	0.07167372864
154	0.07112951228
155	0.07074378526
156	0.07031729965
157	0.06968968848
158	0.06924183851
159	0.06872951096
160	0.0682224907
161	0.06794900224
162	0.06736004126
163	0.06689485399
164	0.06640089581
165	0.06598287622
166	0.06556361531
167	0.06514706101
168	0.06462341768
169	0.06388417083
170	0.06331455901
171	0.06294621577
172	0.06245624115
173	0.06204395673
174	0.06140236598
175	0.06103073743
176	0.06071117071
177	0.06047233043
178	0.05996155631
179	0.0595712343
180	0.05907216951
181	0.05864395531
182	0.05837079331
183	0.05798208972
184	0.05741808936
185	0.05701490599
186	0.05669847823
187	0.05620809192
188	0.05592327971
189	0.05544457235
190	0.0549631893
191	0.05455116431
192	0.05424707735
193	0.05369775007
194	0.0533504457
195	0.05305871268
196	0.05268896789
197	0.05230247199
198	0.05208786232
199	0.05162737126
200	0.05125878605
201	0.05072673689
202	0.05043818537
203	0.0501399611
204	0.04974723465
205	0.0494155635
206	0.04902737907
207	0.04864105407
208	0.04829641872
209	0.04791428457
210	0.04767065976
211	0.04710039989
212	0.04660237934
213	0.04616065228
214	0.04584231189
215	0.04560551174
216	0.04527816874
217	0.04511702535
218	0.04488947656
219	0.04464374724
220	0.04434952751
221	0.04420524895
222	0.04396756587
223	0.04362649452
224	0.04333613397
225	0.04302104066
226	0.04274083336
227	0.04249857553
228	0.04221928917
229	0.04206611837
230	0.04174437551
231	0.04153341222
232	0.04128769312
233	0.04094377184
234	0.0406413494
235	0.04033370931
236	0.04018270173
237	0.03998384695
238	0.03979323981
239	0.03943810155
240	0.03928391893
241	0.03898165241
242	0.03867430222
243	0.03839779191
244	0.0381966545
245	0.03790385947
246	0.03774184586
247	0.037524059
248	0.03728432545
249	0.03708916671
250	0.03684052208
251	0.03668932077
252	0.03641364557
253	0.03607486117
254	0.0359640886
255	0.035751458
256	0.03555943919
257	0.03534109623
258	0.03516688816
259	0.03500723225
260	0.03486662635
261	0.03458390639
262	0.03430622595
263	0.03409240196
264	0.03373850533
265	0.03341947683
266	0.03333725946
267	0.03324160645
268	0.03309376701
269	0.03291180334
270	0.0326623278
271	0.03255222634
272	0.03241195825
273	0.03217690445
274	0.03187699488
275	0.03174163569
276	0.03158151694
277	0.03142096109
278	0.03131030009
279	0.03101953829
280	0.03077559366
281	0.03062321015
282	0.03047691559
283	0.03027316968
284	0.03009180228
285	0.02983529684
286	0.02971246443
287	0.02954494372
288	0.02934982557
289	0.02915514883
290	0.02896963053
291	0.02886415239
